time_s,encoder_pos_rad,output_torque_Nm
0.010679,-0.226267082,0.025000
0.021350,-0.225558748,0.050000
0.032165,-0.225842718,0.075000
0.042807,-0.225152455,0.100000
0.053697,-0.224283692,0.125000
0.064550,-0.222317811,0.150000
0.075056,-0.221546561,0.175000
0.085633,-0.219974521,0.200000
0.096608,-0.217884491,0.225000
0.107147,-0.213606263,0.250000
0.117720,-0.204398820,0.275000
0.128325,-0.190740128,0.300000
0.138996,-0.176094750,0.325000
0.149552,-0.166438226,0.350000
0.160349,-0.151883994,0.375000
0.170984,-0.149754500,0.400000
0.181688,-0.151026653,0.425000
0.192361,-0.149551470,0.450000
0.203075,-0.149593087,0.475000
0.213770,-0.149621971,0.500000
0.224889,-0.147608247,0.525000
0.235687,-0.146323875,0.550000
0.246268,-0.144261793,0.575000
0.256854,-0.139245880,0.600000
0.267547,-0.128032577,0.625000
0.278244,-0.110889424,0.650000
0.288891,-0.088638979,0.675000
0.299573,-0.062141249,0.700000
0.310316,-0.028581487,0.725000
0.321035,0.007464393,0.750000
0.331779,0.035611312,0.775000
0.342472,0.041571216,0.800000
0.353266,0.033364363,0.825000
0.364284,0.035969902,0.850000
0.374972,0.036044710,0.875000
0.385545,0.035923276,0.900000
0.396127,0.037045299,0.925000
0.406657,0.037285920,0.950000
0.417259,0.038861377,0.975000
0.427911,0.038081185,1.000000
0.438609,0.039833129,1.025000
0.449275,0.039522944,1.050000
0.460016,0.040106613,1.075000
0.470716,0.040917889,1.100000
0.481442,0.041438922,1.125000
0.492126,0.043233840,1.150000
0.502868,0.043586439,1.175000
0.513566,0.044445839,1.200000
0.524770,0.049308251,1.225000
0.535571,0.053617609,1.250000
0.546227,0.058069936,1.275000
0.556807,0.063524069,1.300000
0.567426,0.070964307,1.325000
0.578407,0.074913015,1.350000
0.589483,0.076490907,1.375000
0.600174,0.077757303,1.400000
0.610898,0.079406538,1.425000
0.621639,0.082463732,1.450000
0.632242,0.091672673,1.475000
0.642817,0.101791759,1.500000
0.653695,0.115530456,1.525000
0.665170,0.115407524,1.550000
0.675823,0.117608034,1.575000
0.686892,0.118398431,1.600000
0.697516,0.119901515,1.625000
0.707904,0.119887658,1.650000
0.718619,0.121623779,1.675000
0.729328,0.123064320,1.700000
0.739851,0.124966254,1.725000
0.750536,0.126482914,1.750000
0.761234,0.129918267,1.775000
0.771968,0.134704560,1.800000
0.782660,0.141389230,1.825000
0.793377,0.145639042,1.850000
0.804597,0.149850186,1.875000
0.815327,0.152037963,1.900000
0.825908,0.158886386,1.925000
0.836508,0.171470196,1.950000
0.847118,0.192427235,1.975000
0.857722,0.217785574,2.000000
0.868381,0.232285363,2.025000
0.879191,0.240700255,2.050000
0.889874,0.239719515,2.075000
0.900451,0.240284271,2.100000
0.911079,0.244736692,2.125000
0.922158,0.247821600,2.150000
0.932858,0.251321461,2.175000
0.943528,0.251770683,2.200000
0.954715,0.252465768,2.225000
0.965534,0.253776542,2.250000
0.976156,0.256383954,2.275000
0.986743,0.256789170,2.300000
0.997319,0.256821752,2.325000
1.007984,0.257649413,2.350000
1.018702,0.257873087,2.375000
1.029385,0.260162449,2.400000
1.040082,0.260615415,2.425000
1.050806,0.261512734,2.450000
1.061570,0.263280969,2.475000
1.072244,0.263332089,2.500000
1.082951,0.264031200,2.525000
1.093837,0.265704310,2.550000
1.104767,0.268016797,2.575000
1.115497,0.268771991,2.600000
1.126104,0.269546659,2.625000
1.136830,0.270934207,2.650000
1.147415,0.271816265,2.675000
1.158095,0.275505440,2.700000
1.168796,0.281676473,2.725000
1.179503,0.290380485,2.750000
1.190272,0.296393382,2.775000
1.200963,0.299405261,2.800000
1.211659,0.298739575,2.825000
1.222370,0.299506940,2.850000
1.233027,0.300009248,2.875000
1.244209,0.303022157,2.900000
1.254954,0.305055262,2.925000
1.265525,0.305815979,2.950000
1.276061,0.307399863,2.975000
1.286655,0.311020503,3.000000
1.297250,0.315224157,3.025000
1.307735,0.319773013,3.050000
1.318407,0.328173955,3.075000
1.329037,0.341101282,3.100000
1.339665,0.342897605,3.125000
1.350393,0.342445950,3.150000
1.361261,0.343800167,3.175000
1.371761,0.343634354,3.200000
1.382411,0.344974621,3.225000
1.392918,0.346596611,3.250000
1.403566,0.348297341,3.275000
1.414646,0.354972742,3.300000
1.425452,0.359299515,3.325000
1.436054,0.364508533,3.350000
1.446717,0.366838342,3.375000
1.457362,0.368447224,3.400000
1.468015,0.369039226,3.425000
1.478680,0.370056949,3.450000
1.489353,0.371536532,3.475000
1.500025,0.372016744,3.500000
1.510809,0.373255613,3.525000
1.521501,0.374885842,3.550000
1.532187,0.376390143,3.575000
1.542934,0.378520339,3.600000
1.553669,0.380071828,3.625000
1.564874,0.382547694,3.650000
1.575598,0.385705818,3.675000
1.586244,0.388063059,3.700000
1.596775,0.389987276,3.725000
1.607437,0.391677427,3.750000
1.618141,0.395266889,3.775000
1.628803,0.398218192,3.800000
1.639429,0.401322668,3.825000
1.650184,0.402956174,3.850000
1.660841,0.405346746,3.875000
1.671561,0.408258819,3.900000
1.682295,0.409444695,3.925000
1.693003,0.409953370,3.950000
1.703686,0.411100953,3.975000
1.714866,0.416064294,4.000000
1.725600,0.418631540,4.025000
1.736157,0.423230112,4.050000
1.746768,0.432264064,4.075000
1.757349,0.442071654,4.100000
1.767989,0.448997038,4.125000
1.778695,0.449636228,4.150000
1.789377,0.450040227,4.175000
1.800073,0.451712214,4.200000
1.810728,0.452922621,4.225000
1.821454,0.454689732,4.250000
1.832190,0.457258944,4.275000
1.842926,0.460367071,4.300000
1.853620,0.465379567,4.325000
1.864773,0.475008892,4.350000
1.875540,0.480170348,4.375000
1.886217,0.479628249,4.400000
1.896801,0.480409189,4.425000
1.907409,0.482213752,4.450000
1.918095,0.483098524,4.475000
1.928733,0.483822634,4.500000
1.939405,0.484909828,4.525000
1.950058,0.485142116,4.550000
1.960695,0.486347841,4.575000
1.971418,0.487148724,4.600000
1.982145,0.487189171,4.625000
1.992850,0.488576345,4.650000
2.003624,0.489364963,4.675000
2.014676,0.490285127,4.700000
2.025609,0.491704415,4.725000
2.036162,0.491772388,4.750000
2.046761,0.492152419,4.775000
2.057436,0.493480608,4.800000
2.068096,0.494888380,4.825000
2.078759,0.497591291,4.850000
2.089417,0.502177411,4.875000
2.100178,0.509287614,4.900000
2.110882,0.515768271,4.925000
