Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
7200 , 753.9822368615503 , 2.304563575970645 , 1725 , 0.257 , 72 , 27
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 72 , 70
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 28 , 4.0 , 45.0 , 1.0
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingMM, PSCs, PSCp1, PSCp2, PSCr, CD_SP, CD_PR, mass, eff, peakTorque, Cost, tooth_forces_sp, tooth_forces_rp, Torque_Density
76 , 4.0 , 0.5 , 0.5 , 40 , 40 , 40 , 120 , 4 , 4.242 , 4.242 , 3.785 , 3.785 , 0 , 0 , 0 , 0 , 20.0 , 20.0 , 0.46 , 0.963 , 9.218 , 0.13961740756987218 , [86.42113409889917, 86.42113409889919] , 20.039
68 , 5.133333333333335 , 0.9 , 0.9 , 18 , 31 , 35 , 84 , 3 , 5.184 , 5.184 , 3.112 , 3.112 , 0 , 0 , 0 , 0 , 22.05 , 22.05 , 0.507 , 0.943 , 11.83 , 0.28030323161481685 , [142.25701086238547, 125.99906676382714] , 23.333
59 , 6.0 , 0.8 , 0.8 , 18 , 36 , 36 , 90 , 3 , 6.497 , 6.497 , 4.433 , 4.433 , 0 , 0 , 0 , 0 , 21.6 , 21.6 , 0.516 , 0.943 , 13.827 , 0.8163048170626195 , [160.03913722018365, 160.03913722018368] , 26.797
39 , 7.222222222222222 , 0.7 , 0.7 , 18 , 42 , 36 , 96 , 3 , 8.407 , 8.407 , 6.783 , 6.783 , 0 , 0 , 0 , 0 , 21.0 , 21.0 , 0.53 , 0.942 , 16.644 , 1.6839195874578174 , [182.90187110878134, 213.3855162935782] , 31.404
27 , 8.0 , 0.7 , 0.7 , 18 , 42 , 30 , 90 , 3 , 8.407 , 8.407 , 8.576 , 8.576 , 0 , 0 , 0 , 0 , 21.0 , 21.0 , 0.534 , 0.938 , 18.437 , 2.0547351192618355 , [182.90187110878134, 256.0626195522938] , 34.526
17 , 9.263888888888891 , 0.6 , 0.6 , 18 , 51 , 36 , 105 , 3 , 11.321 , 11.321 , 11.27 , 11.27 , 0 , 0 , 0 , 0 , 20.7 , 20.7 , 0.555 , 0.941 , 21.349 , 3.191119969970516 , [213.38551629357823, 302.2961480825692] , 38.467
10 , 10.35 , 0.6 , 0.6 , 18 , 51 , 30 , 99 , 3 , 11.321 , 11.321 , 14.26 , 14.26 , 0 , 0 , 0 , 0 , 20.7 , 20.7 , 0.562 , 0.937 , 23.852 , 3.8049964247356125 , [213.38551629357823, 362.755377699083] , 42.441
3 , 11.059907834101383 , 0.5 , 0.5 , 21 , 59 , 31 , 111 , 3 , 13.103 , 13.103 , 19.617 , 19.617 , 0 , 0 , 0 , 0 , 20.0 , 20.0 , 0.536 , 0.942 , 25.488 , 5.196211723971969 , [219.48224533053758, 417.7242733710231] , 47.552
1 , 12.118226600985222 , 0.5 , 0.5 , 21 , 61 , 29 , 111 , 3 , 13.083 , 13.083 , 22.167 , 22.167 , 0 , 0 , 0 , 0 , 20.5 , 20.5 , 0.591 , 0.94 , 27.927 , 5.76117104744773 , [219.48224533053758, 461.66955052285493] , 47.254


Running Time (sec)
58.872113943099976
