Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
7200 , 753.9822368615503 , 2.304563575970645 , 1725 , 0.257 , 72 , 27
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 62 , 400
 
Optimization Parameters:
K_mass, K_Eff, MODULE_STAGE1_MIN, MODULE_STAGE1_MAX, MODULE_STAGE2_MIN, MODULE_STAGE2_MAX, NUM_PLANET_STAGE1_MIN, NUM_PLANET_STAGE1_MAX, NUM_PLANET_STAGE2_MIN, NUM_PLANET_STAGE2_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 3 , 7 , 18 , 28 , 4 , 45 , 1
 
iter, gearRatio, module1, module2, Ns1, Np1, Nr1, numPlanet1, Ns2, Np2, Nr2, numPlanet2, fwSun1MM, fwPlanet1MM, fwRing1MM, fwSun2MM, fwPlanet2MM, fwRing2MM, Opt_PSC_sun1,  Opt_PSC_planet1, Opt_PSC_ring1, Opt_PSC_sun2, Opt_PSC_planet2, Opt_PSC_ring2, Opt_CD_SP1, Opt_CD_PR1, Opt_CD_SP2, Opt_CD_PR2, mass, eff, peakTorque, Cost, Torque_Density
1 , 7.972318339100347 , 0.5 , 0.5 , 68 , 28 , 124 , 3 , 68 , 28 , 124 , 3 , 0.543 , 8.0 , 8.0 , 1.533 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 24.0 , 24.0 , 24.0 , 24.0 , 0.785 , 0.925 , 18.373 , 2.1423340801746313 , 23.405095541401273
4 , 8.933002481389579 , 0.5 , 0.5 , 62 , 28 , 118 , 3 , 52 , 28 , 108 , 4 , 0.603 , 8.0 , 8.0 , 1.606 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 22.5 , 22.5 , 20.0 , 20.0 , 0.666 , 0.921 , 20.587 , 2.1433121223196365 , 30.91141141141141
12 , 9.957446808510639 , 0.5 , 0.5 , 50 , 28 , 106 , 3 , 47 , 28 , 103 , 3 , 0.772 , 8.0 , 8.0 , 2.592 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 18.75 , 18.75 , 0.61 , 0.918 , 22.948 , 2.112786644868028 , 37.619672131147546
15 , 10.939024390243903 , 0.5 , 0.5 , 48 , 30 , 108 , 3 , 41 , 28 , 97 , 3 , 0.807 , 8.0 , 8.0 , 3.189 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 17.25 , 17.25 , 0.59 , 0.917 , 25.21 , 2.1234595924959287 , 42.728813559322035
10 , 11.909943714821763 , 0.5 , 0.5 , 39 , 30 , 99 , 3 , 41 , 28 , 97 , 3 , 1.04 , 8.0 , 8.0 , 3.472 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 17.25 , 17.25 , 17.25 , 17.25 , 0.576 , 0.914 , 27.447 , 2.0889248379938405 , 47.65104166666667
6 , 12.955903271692746 , 0.5 , 0.5 , 37 , 32 , 101 , 3 , 38 , 28 , 94 , 3 , 1.107 , 8.0 , 8.0 , 4.027 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 17.25 , 17.25 , 16.5 , 16.5 , 0.572 , 0.914 , 29.858 , 2.0921105673951708 , 52.19930069930071
4 , 13.69624060150376 , 0.5 , 0.5 , 35 , 34 , 103 , 3 , 38 , 28 , 94 , 3 , 1.185 , 8.0 , 8.0 , 4.258 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 17.25 , 17.25 , 16.5 , 16.5 , 0.572 , 0.914 , 31.564 , 2.0873067466103876 , 55.18181818181819
7 , 14.611764705882353 , 0.5 , 0.5 , 34 , 35 , 104 , 3 , 35 , 28 , 91 , 3 , 1.229 , 8.0 , 8.0 , 4.872 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 17.25 , 17.25 , 15.75 , 15.75 , 0.568 , 0.913 , 33.674 , 2.0988045904976858 , 59.28521126760564
5 , 15.054545454545455 , 0.5 , 0.5 , 33 , 36 , 105 , 3 , 35 , 28 , 91 , 3 , 1.276 , 8.0 , 8.0 , 5.02 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 17.25 , 17.25 , 15.75 , 15.75 , 0.568 , 0.913 , 34.694 , 2.051175512422572 , 61.08098591549297
8 , 16.61111111111111 , 0.5 , 0.5 , 36 , 42 , 120 , 3 , 36 , 33 , 102 , 3 , 1.129 , 8.0 , 8.0 , 4.961 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 17.25 , 17.25 , 0.584 , 0.921 , 38.281 , 2.055025549787116 , 65.54965753424658
7 , 17.588235294117645 , 0.5 , 0.5 , 34 , 44 , 122 , 3 , 36 , 33 , 102 , 3 , 1.213 , 8.0 , 8.0 , 5.253 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 17.25 , 17.25 , 0.583 , 0.921 , 40.533 , 2.055233800547465 , 69.52487135506004
9 , 18.12121212121212 , 0.5 , 0.5 , 33 , 45 , 123 , 3 , 36 , 33 , 102 , 3 , 1.26 , 8.0 , 8.0 , 5.412 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 17.25 , 17.25 , 0.583 , 0.92 , 41.761 , 2.022540791702936 , 71.63121783876502
4 , 19.18716577540107 , 0.5 , 0.5 , 33 , 45 , 123 , 3 , 34 , 35 , 104 , 3 , 1.26 , 8.0 , 8.0 , 5.809 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 17.25 , 17.25 , 0.585 , 0.921 , 44.218 , 2.021779607312025 , 75.5863247863248
6 , 20.021390374331553 , 0.5 , 0.5 , 33 , 45 , 123 , 3 , 34 , 38 , 110 , 3 , 1.26 , 8.0 , 8.0 , 5.78 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 18.0 , 18.0 , 0.61 , 0.922 , 46.141 , 2.020961500794145 , 75.64098360655737
2 , 21.487603305785125 , 0.5 , 0.5 , 33 , 45 , 123 , 3 , 33 , 42 , 117 , 3 , 1.26 , 8.0 , 8.0 , 5.977 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 18.75 , 18.75 , 0.618 , 0.923 , 49.52 , 2.0279323036585852 , 80.12944983818771
