Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
7200 , 753.9822368615503 , 2.304563575970645 , 1725 , 0.257 , 72 , 27
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 80.0 , 70
 
Optimization Parameters:
K_mass, K_Eff, K_Width, MODULE_MIN, MODULE_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 4.0 , 15 , 0.1
 
iter, gearRatio, module, Ns, Np, Nr, numPlanet, fwSunMM, fwPlanetMM, fwRingMM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
5 , 4.0588235294117645 , 0.5 , 34 , 35 , 104 , 3 , 7.021 , 8.0 , 8.0 , 0.498 , 0.958 , 9.354 , 0.18272610365033137 , 18.78313253012048 , 0.038 , 63.0
4 , 4.181818181818182 , 0.5 , 33 , 36 , 105 , 3 , 7.29 , 8.0 , 8.0 , 0.498 , 0.958 , 9.637 , 0.1822810083324531 , 19.35140562248996 , 0.038 , 63.0
4 , 4.258064516129032 , 0.5 , 31 , 35 , 101 , 3 , 7.933 , 8.0 , 8.0 , 0.499 , 0.956 , 9.813 , 0.18747344982316783 , 19.665330661322646 , 0.038 , 63.0
4 , 4.3125 , 0.5 , 32 , 37 , 106 , 3 , 7.579 , 8.0 , 8.0 , 0.497 , 0.958 , 9.938 , 0.18198045713894628 , 19.995975855130787 , 0.038 , 63.0
3 , 4.451612903225806 , 0.5 , 31 , 38 , 107 , 3 , 7.894 , 8.0 , 8.0 , 0.497 , 0.957 , 10.259 , 0.18182626014811354 , 20.64185110663984 , 0.038 , 63.0
6 , 4.588235294117647 , 0.5 , 34 , 44 , 122 , 3 , 6.929 , 8.0 , 8.0 , 0.511 , 0.962 , 10.574 , 0.18815717853982616 , 20.69275929549902 , 0.05 , 63.0
5 , 4.6875 , 0.5 , 32 , 43 , 118 , 3 , 7.514 , 8.0 , 8.0 , 0.513 , 0.96 , 10.803 , 0.19325730816531683 , 21.058479532163744 , 0.05 , 63.0
3 , 4.7272727272727275 , 0.5 , 33 , 45 , 123 , 3 , 7.197 , 8.0 , 8.0 , 0.511 , 0.961 , 10.894 , 0.18814688062484897 , 21.31898238747554 , 0.05 , 63.0
6 , 4.875 , 0.5 , 32 , 46 , 124 , 3 , 7.487 , 8.0 , 8.0 , 0.51 , 0.961 , 11.235 , 0.1882531242221428 , 22.02941176470588 , 0.05 , 63.0
5 , 4.956521739130435 , 0.7 , 23 , 34 , 91 , 3 , 6.083 , 8.0 , 8.0 , 0.514 , 0.949 , 11.423 , 0.21638378465076702 , 22.223735408560312 , 0.05 , 63.0
