Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
7200 , 753.9822368615503 , 2.304563575970645 , 1725 , 0.257 , 72 , 27
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 62.0 , 70
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 28 , 4 , 45 , 1
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, NrBig, NrSmall, numPlanet, PSCs, PSCp1, PSCp2, PSCr1, PSCr2,fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingBigMM, fwRingSmallMM,  mass, eff, peakTorque, Cost, torque_density
1 , 16.5 , 0.5 , 0.5 , 36 , 44 , 28 , 124 , 108 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.825 , 18.543 , 25.58 , 18.543 , 25.58 , 0.557 , 0.877 , 38.025 , 7.627204622807227 , 68.268
1 , 17.875 , 0.5 , 0.5 , 32 , 44 , 28 , 120 , 104 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 5.629 , 20.831 , 28.719 , 20.831 , 28.719 , 0.568 , 0.874 , 41.194 , 8.728944424355998 , 72.525
1 , 18.0 , 0.5 , 0.5 , 40 , 40 , 28 , 120 , 108 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.242 , 21.447 , 27.905 , 21.447 , 27.905 , 0.572 , 0.851 , 41.482 , 8.741685970913974 , 72.521
1 , 19.40625 , 0.5 , 0.5 , 32 , 46 , 30 , 124 , 108 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 5.615 , 21.823 , 29.389 , 21.823 , 29.389 , 0.582 , 0.875 , 44.723 , 9.075179641539316 , 76.844
4 , 20.076923076923077 , 0.5 , 0.5 , 52 , 36 , 28 , 124 , 116 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.112 , 23.985 , 29.083 , 23.985 , 29.083 , 0.602 , 0.804 , 46.269 , 9.607906102643172 , 76.859
3 , 21.0 , 0.5 , 0.5 , 36 , 42 , 30 , 120 , 108 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.837 , 24.942 , 31.803 , 24.942 , 31.803 , 0.598 , 0.848 , 48.396 , 10.249938300354897 , 80.93
4 , 22.814814814814813 , 0.5 , 0.5 , 36 , 44 , 32 , 124 , 112 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.825 , 26.098 , 32.686 , 26.098 , 32.686 , 0.614 , 0.849 , 52.578 , 10.673892734557064 , 85.632
2 , 23.4 , 0.5 , 0.5 , 40 , 36 , 28 , 112 , 104 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.269 , 31.033 , 37.595 , 31.033 , 37.595 , 0.625 , 0.799 , 53.927 , 12.753352198937577 , 86.283
3 , 24.181818181818183 , 0.5 , 0.5 , 44 , 38 , 30 , 120 , 112 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.782 , 29.631 , 35.38 , 29.631 , 35.38 , 0.634 , 0.801 , 55.729 , 12.035024358534743 , 87.901
5 , 25.65 , 0.5 , 0.5 , 40 , 38 , 30 , 116 , 108 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.255 , 32.543 , 38.845 , 32.543 , 38.845 , 0.644 , 0.799 , 59.112 , 13.3243459487324 , 91.789
