Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
4800 , 502.6548245743669 , 4.965634224467134 , 2423 , 0.392 , 87.8 , 31.5
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 87.8 , 70
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 28 , 4.0 , 20.0 , 1.0
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingMM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
145 , 4.23265306122449 , 0.9 , 0.9 , 28 , 33 , 35 , 96 , 4 , 4.554 , 4.554 , 3.473 , 3.473 , 0.838 , 0.954 , 21.018 , 0.5347901530775927 , 25.081 , 0.128 , 0
118 , 5.092165898617511 , 0.8 , 0.8 , 28 , 37 , 31 , 96 , 4 , 5.723 , 5.723 , 5.777 , 5.777 , 0.855 , 0.951 , 25.286 , 1.253877697540035 , 29.574 , 0.128 , 0
89 , 6.0375000000000005 , 0.6 , 0.6 , 40 , 52 , 32 , 124 , 4 , 6.261 , 6.261 , 9.819 , 9.819 , 0.902 , 0.957 , 29.98 , 2.2041485438303843 , 33.237 , 0.134 , 0
69 , 7.283333333333334 , 0.9 , 0.9 , 18 , 39 , 30 , 87 , 3 , 11.007 , 11.007 , 10.355 , 10.355 , 0.911 , 0.938 , 36.166 , 3.307032522223609 , 39.699 , 0.128 , 0
68 , 8.272727272727272 , 0.8 , 0.8 , 18 , 45 , 33 , 96 , 3 , 13.815 , 13.815 , 13.421 , 13.421 , 0.951 , 0.94 , 41.079 , 4.5187482741362075 , 43.196 , 0.128 , 0
52 , 9.124999999999998 , 0.7 , 0.7 , 21 , 52 , 32 , 105 , 3 , 14.494 , 14.494 , 18.173 , 18.173 , 0.979 , 0.943 , 45.311 , 5.626673299302888 , 46.283 , 0.128 , 0
40 , 10.09313725490196 , 0.7 , 0.7 , 18 , 53 , 34 , 105 , 3 , 17.887 , 17.887 , 19.961 , 19.961 , 0.98 , 0.94 , 50.119 , 6.669983027964948 , 51.142 , 0.103 , 0
25 , 11.410714285714285 , 0.7 , 0.7 , 18 , 53 , 28 , 99 , 3 , 17.887 , 17.887 , 25.73 , 25.73 , 1.006 , 0.935 , 56.661 , 7.8601509192975225 , 56.323 , 0.103 , 0
19 , 12.118226600985224 , 0.6 , 0.6 , 21 , 61 , 29 , 111 , 3 , 19.576 , 19.576 , 33.169 , 33.169 , 1.056 , 0.94 , 60.175 , 9.725358187615495 , 56.984 , 0.103 , 0
15 , 13.090909090909088 , 0.6 , 0.6 , 18 , 63 , 33 , 114 , 3 , 24.145 , 24.145 , 33.72 , 33.72 , 1.103 , 0.938 , 65.005 , 10.799685526659099 , 58.935 , 0.103 , 0
9 , 14.609195402298852 , 0.6 , 0.6 , 18 , 64 , 29 , 111 , 3 , 24.128 , 24.128 , 40.6 , 40.6 , 1.139 , 0.935 , 72.544 , 12.214749242820117 , 63.691 , 0.103 , 0
5 , 15.235294117647058 , 0.5 , 0.5 , 21 , 77 , 34 , 132 , 3 , 27.914 , 27.914 , 49.244 , 49.244 , 1.217 , 0.943 , 75.653 , 14.762057863158752 , 62.164 , 0.103 , 0
3 , 16.258064516129032 , 0.5 , 0.5 , 21 , 77 , 31 , 129 , 3 , 27.914 , 27.914 , 55.546 , 55.546 , 1.249 , 0.941 , 80.732 , 16.05861518421152 , 64.637 , 0.103 , 0
1 , 17.5 , 0.5 , 0.5 , 21 , 77 , 28 , 126 , 3 , 27.914 , 27.914 , 63.575 , 63.575 , 1.29 , 0.938 , 86.899 , 17.711043349459793 , 67.364 , 0.103 , 0


Running Time (sec)
195.73299360275269
