Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
4800 , 502.6548245743669 , 4.965634224467134 , 2423 , 0.392 , 87.8 , 31.5
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 77.8 , 400
 
Optimization Parameters:
K_mass, K_Eff, MODULE_STAGE1_MIN, MODULE_STAGE1_MAX, MODULE_STAGE2_MIN, MODULE_STAGE2_MAX, NUM_PLANET_STAGE1_MIN, NUM_PLANET_STAGE1_MAX, NUM_PLANET_STAGE2_MIN, NUM_PLANET_STAGE2_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 3 , 7 , 18 , 28 , 4 , 45 , 1
 
iter, gearRatio, module1, module2, Ns1, Np1, Nr1, numPlanet1, Ns2, Np2, Nr2, numPlanet2, fwSun1MM, fwPlanet1MM, fwRing1MM, fwSun2MM, fwPlanet2MM, fwRing2MM, Opt_PSC_sun1,  Opt_PSC_planet1, Opt_PSC_ring1, Opt_PSC_sun2, Opt_PSC_planet2, Opt_PSC_ring2, Opt_CD_SP1, Opt_CD_PR1, Opt_CD_SP2, Opt_CD_PR2, mass, eff, peakTorque, Cost, Torque_Density
4 , 6.998939554612938 , 0.5 , 0.5 , 92 , 28 , 148 , 3 , 82 , 28 , 138 , 4 , 0.825 , 8.0 , 8.0 , 1.842 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 30.0 , 30.0 , 27.5 , 27.5 , 1.066 , 0.929 , 34.754 , 2.496041631898958 , 32.60225140712945
15 , 7.888128772635815 , 0.5 , 0.5 , 70 , 29 , 128 , 3 , 71 , 28 , 127 , 3 , 1.129 , 8.0 , 8.0 , 3.149 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 24.75 , 24.75 , 24.75 , 24.75 , 0.961 , 0.927 , 39.17 , 2.462459682197267 , 40.759625390218524
14 , 8.933002481389579 , 0.5 , 0.5 , 62 , 28 , 118 , 3 , 52 , 28 , 108 , 4 , 1.299 , 8.0 , 8.0 , 3.461 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 22.5 , 22.5 , 20.0 , 20.0 , 0.843 , 0.921 , 44.358 , 2.4622112656996533 , 52.61921708185053
17 , 9.957446808510639 , 0.5 , 0.5 , 50 , 28 , 106 , 3 , 47 , 28 , 103 , 3 , 1.664 , 8.0 , 8.0 , 5.586 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 18.75 , 18.75 , 0.788 , 0.918 , 49.445 , 2.433320933538025 , 62.74746192893401
15 , 10.939024390243903 , 0.5 , 0.5 , 48 , 30 , 108 , 3 , 41 , 28 , 97 , 3 , 1.738 , 8.0 , 8.0 , 6.872 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 17.25 , 17.25 , 0.768 , 0.917 , 54.319 , 2.43954252563496 , 70.72786458333333
10 , 11.909943714821763 , 0.5 , 0.5 , 39 , 30 , 99 , 3 , 41 , 28 , 97 , 3 , 2.241 , 8.0 , 8.0 , 7.482 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 17.25 , 17.25 , 17.25 , 17.25 , 0.754 , 0.914 , 59.14 , 2.4394012428116842 , 78.43501326259947
5 , 12.553724456163481 , 0.5 , 0.5 , 37 , 32 , 101 , 3 , 41 , 28 , 97 , 3 , 2.386 , 8.0 , 8.0 , 7.886 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 17.25 , 17.25 , 17.25 , 17.25 , 0.753 , 0.915 , 62.337 , 2.4653684554229915 , 82.78486055776892
17 , 13.627586206896552 , 0.5 , 0.6 , 45 , 33 , 111 , 3 , 29 , 28 , 85 , 3 , 1.866 , 8.0 , 8.0 , 7.991 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 17.099999999999998 , 17.099999999999998 , 0.765 , 0.913 , 67.67 , 2.4364063984524735 , 88.45751633986929
23 , 14.130434782608694 , 0.5 , 0.5 , 36 , 42 , 120 , 3 , 46 , 29 , 104 , 3 , 2.432 , 8.0 , 8.0 , 7.942 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 18.75 , 18.75 , 0.783 , 0.922 , 70.167 , 2.4362133004878808 , 89.61302681992338
18 , 15.05009276437848 , 0.5 , 0.5 , 33 , 45 , 123 , 3 , 49 , 29 , 107 , 3 , 2.714 , 8.0 , 8.0 , 8.036 , 8.036 , 8.036 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 19.5 , 19.5 , 0.786 , 0.922 , 74.733 , 2.4307922660544703 , 95.08015267175573
30 , 16.045714285714286 , 0.5 , 0.6 , 35 , 43 , 121 , 3 , 35 , 28 , 91 , 3 , 2.519 , 8.0 , 8.0 , 8.006 , 8.006 , 8.006 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 18.9 , 18.9 , 0.788 , 0.917 , 79.677 , 2.438259793151087 , 101.11294416243655
20 , 17.521182266009852 , 0.5 , 0.7 , 35 , 43 , 121 , 3 , 29 , 28 , 85 , 3 , 2.519 , 8.0 , 8.0 , 7.548 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 19.95 , 19.95 , 0.799 , 0.913 , 87.004 , 2.423408451620876 , 108.89111389236545
27 , 18.03651115618661 , 0.5 , 0.7 , 34 , 44 , 122 , 3 , 29 , 28 , 85 , 3 , 2.613 , 8.0 , 8.0 , 7.77 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 19.95 , 19.95 , 0.798 , 0.913 , 89.563 , 2.4285238562078177 , 112.234335839599
17 , 19.164619164619168 , 0.5 , 0.6 , 33 , 45 , 123 , 3 , 37 , 38 , 113 , 3 , 2.714 , 8.0 , 8.0 , 7.752 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 22.5 , 22.5 , 0.865 , 0.923 , 95.164 , 2.4311043702918123 , 110.01618497109827
20 , 20.539184952978058 , 0.5 , 0.7 , 33 , 45 , 123 , 3 , 29 , 34 , 97 , 3 , 2.714 , 8.0 , 8.0 , 7.904 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 22.049999999999997 , 22.049999999999997 , 0.865 , 0.917 , 101.99 , 2.3917040153292946 , 117.90751445086704
20 , 21.272727272727273 , 0.5 , 0.8 , 33 , 45 , 123 , 3 , 24 , 30 , 84 , 3 , 2.714 , 8.0 , 8.0 , 7.895 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 21.6 , 21.6 , 0.863 , 0.911 , 105.633 , 2.394937165279353 , 122.40208574739282
26 , 22.023529411764702 , 0.5 , 0.9 , 34 , 44 , 122 , 3 , 20 , 28 , 76 , 3 , 2.613 , 8.0 , 8.0 , 7.817 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 21.6 , 21.6 , 0.867 , 0.905 , 109.361 , 2.3984974960630785 , 126.13725490196079
