Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
4800 , 502.6548245743669 , 4.965634224467134 , 2423 , 0.392 , 87.8 , 31.5
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 77.8 , 70
 
Optimization Parameters:
K_mass, K_Eff, MODULE_MIN, MODULE_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , 0 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 4.0 , 45.0 , 0.1
 
iter, gearRatio, module, Ns, Np, Nr, numPlanet, fwSunMM, fwPlanetMM, fwRingMM, PSCs, PSCp, PSCr, CD_SP, CD_PR, mass, eff, peakTorque, Cost, Torque_Density
19 , 4.081632653061225 , 0.5 , 49 , 51 , 151 , 4 , 7.054 , 8.0 , 8.0 , 0 , 0 , 0 , 25.0 , 25.0 , 0.711 , 0.969 , 20.268 , 0.37225887851535466 , 28.506329113924053
14 , 4.166666666666667 , 0.5 , 48 , 52 , 152 , 4 , 7.221 , 8.0 , 8.0 , 0 , 0 , 0 , 25.0 , 25.0 , 0.711 , 0.969 , 20.69 , 0.3719935694614991 , 29.099859353023913
19 , 4.285714285714286 , 0.7999999999999999 , 28 , 32 , 92 , 3 , 7.7 , 8.0 , 8.0 , 0 , 0 , 0 , 23.999999999999996 , 23.999999999999996 , 0.706 , 0.952 , 21.281 , 0.40185347873703603 , 30.143059490084987
19 , 4.32 , 0.8999999999999999 , 25 , 29 , 83 , 3 , 7.147 , 8.0 , 8.0 , 0 , 0 , 0 , 24.299999999999997 , 24.299999999999997 , 0.705 , 0.948 , 21.452 , 0.4100785640529947 , 30.428368794326246
15 , 4.444444444444445 , 0.7999999999999999 , 27 , 33 , 93 , 3 , 8.073 , 8.073 , 8.073 , 0 , 0 , 0 , 23.999999999999996 , 23.999999999999996 , 0.706 , 0.952 , 22.069 , 0.41651467230529304 , 31.259206798866856
19 , 4.5 , 0.8999999999999999 , 24 , 30 , 84 , 3 , 7.54 , 8.0 , 8.0 , 0 , 0 , 0 , 24.299999999999997 , 24.299999999999997 , 0.704 , 0.947 , 22.345 , 0.40970909484108975 , 31.74005681818182
15 , 4.695652173913044 , 0.8999999999999999 , 23 , 31 , 85 , 3 , 7.977 , 8.0 , 8.0 , 0 , 0 , 0 , 24.299999999999997 , 24.299999999999997 , 0.704 , 0.947 , 23.317 , 0.4096518052254421 , 33.12073863636364
11 , 4.758620689655173 , 0.7 , 29 , 40 , 109 , 3 , 9.461 , 9.461 , 9.461 , 0 , 0 , 0 , 24.15 , 24.15 , 0.711 , 0.957 , 23.63 , 0.6891946601631627 , 33.23488045007032
17 , 4.8 , 0.9999999999999999 , 20 , 28 , 76 , 3 , 7.886 , 8.0 , 8.0 , 0 , 0 , 0 , 23.999999999999996 , 23.999999999999996 , 0.704 , 0.941 , 23.835 , 0.42210562126146556 , 33.85653409090909
9 , 4.909090909090909 , 0.8999999999999999 , 22 , 32 , 86 , 3 , 8.461 , 8.461 , 8.461 , 0 , 0 , 0 , 24.299999999999997 , 24.299999999999997 , 0.705 , 0.947 , 24.377 , 0.5044563251709937 , 34.57730496453901
15 , 5.052631578947368 , 0.9999999999999999 , 19 , 29 , 77 , 3 , 8.441 , 8.441 , 8.441 , 0 , 0 , 0 , 23.999999999999996 , 23.999999999999996 , 0.706 , 0.94 , 25.09 , 0.5130185573489818 , 35.538243626062325
