Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
4800 , 502.6548245743669 , 4.965634224467134 , 2423 , 0.392 , 87.8 , 31.5
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 77.8 , 70
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 28 , 4 , 45 , 1
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, NrBig, NrSmall, numPlanet, PSCs, PSCp1, PSCp2, PSCr1, PSCr2,fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingBigMM, fwRingSmallMM,  mass, eff, peakTorque, Cost, torque_density
2 , 11.314285714285715 , 0.5 , 0.5 , 56 , 48 , 28 , 152 , 132 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 6.06 , 21.489 , 31.212 , 21.489 , 31.212 , 0.819 , 0.903 , 56.183 , 9.553660211414073 , 68.6
5 , 12.272727272727273 , 0.5 , 0.5 , 55 , 50 , 30 , 155 , 135 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.939 , 18.307 , 25.892 , 18.307 , 25.892 , 0.809 , 0.903 , 60.942 , 7.844158760820265 , 75.33
5 , 13.0 , 0.5 , 0.5 , 50 , 50 , 30 , 150 , 130 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 5.516 , 20.116 , 28.438 , 20.116 , 28.438 , 0.813 , 0.901 , 64.553 , 8.721681113543644 , 79.401
8 , 14.636363636363637 , 0.5 , 0.5 , 66 , 42 , 30 , 150 , 138 , 6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.375 , 19.713 , 25.194 , 19.713 , 25.194 , 0.835 , 0.859 , 72.679 , 8.09779695237475 , 87.041
8 , 15.4 , 0.5 , 0.5 , 60 , 42 , 30 , 144 , 132 , 6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.761 , 21.654 , 27.665 , 21.654 , 27.665 , 0.843 , 0.858 , 76.471 , 8.991341546860953 , 90.713
8 , 16.96969696969697 , 0.5 , 0.5 , 55 , 50 , 35 , 155 , 140 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.939 , 25.935 , 32.935 , 25.935 , 32.935 , 0.893 , 0.879 , 84.265 , 10.909791508923524 , 94.362
8 , 17.5 , 0.5 , 0.5 , 84 , 35 , 28 , 154 , 147 , 7 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.211 , 20.905 , 24.872 , 20.905 , 24.872 , 0.879 , 0.792 , 86.899 , 8.450931765487722 , 98.861
9 , 18.181818181818183 , 0.5 , 0.5 , 77 , 35 , 28 , 147 , 140 , 7 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.448 , 22.769 , 27.085 , 22.769 , 27.085 , 0.883 , 0.791 , 90.284 , 9.272477828325867 , 102.247
11 , 19.0 , 0.5 , 0.5 , 70 , 35 , 28 , 140 , 133 , 7 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.733 , 25.002 , 29.734 , 25.002 , 29.734 , 0.886 , 0.789 , 94.347 , 10.255407431588718 , 106.486
11 , 20.0 , 0.5 , 0.5 , 63 , 35 , 28 , 133 , 126 , 7 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.081 , 27.725 , 32.964 , 27.725 , 32.964 , 0.89 , 0.787 , 99.313 , 11.453901126073093 , 111.588
