Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
2400 , 251.32741228718345 , 3.437746770784939 , 1700 , 0.5 , 86.8 , 43
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 86.8 , 70
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 28 , 4.0 , 20.0 , 1.0
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingMM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
130 , 4.0 , 0.8 , 0.8 , 28 , 28 , 28 , 84 , 4 , 4.034 , 4.034 , 4.0 , 4.0 , 0.863 , 0.949 , 13.751 , 0.5716744425058664 , 15.934 , 0.081 , 0
116 , 5.092165898617511 , 0.8 , 0.8 , 28 , 37 , 31 , 96 , 4 , 3.962 , 4.0 , 4.0 , 4.0 , 0.949 , 0.951 , 17.506 , 0.6475283249363085 , 18.447 , 0.128 , 0
84 , 6.0375000000000005 , 0.6 , 0.6 , 40 , 52 , 32 , 124 , 4 , 4.335 , 4.335 , 6.798 , 6.798 , 0.986 , 0.957 , 20.755 , 1.298906194856353 , 21.05 , 0.134 , 0
67 , 7.283333333333334 , 0.9 , 0.9 , 18 , 39 , 30 , 87 , 3 , 7.62 , 7.62 , 7.169 , 7.169 , 0.985 , 0.938 , 25.038 , 2.0665773787128265 , 25.419 , 0.128 , 0
63 , 8.272727272727272 , 0.8 , 0.8 , 18 , 45 , 33 , 96 , 3 , 9.564 , 9.564 , 9.291 , 9.291 , 1.012 , 0.94 , 28.44 , 2.9039767016869495 , 28.103 , 0.128 , 0
47 , 9.257142857142856 , 0.7 , 0.7 , 21 , 51 , 30 , 102 , 3 , 10.044 , 10.044 , 13.419 , 13.419 , 1.034 , 0.941 , 31.824 , 3.8434396578806496 , 30.778 , 0.128 , 0
36 , 10.09313725490196 , 0.7 , 0.7 , 18 , 53 , 34 , 105 , 3 , 12.383 , 12.383 , 13.819 , 13.819 , 1.019 , 0.94 , 34.698 , 4.380098145765515 , 34.051 , 0.103 , 0
22 , 11.410714285714285 , 0.7 , 0.7 , 18 , 53 , 28 , 99 , 3 , 12.383 , 12.383 , 17.813 , 17.813 , 1.037 , 0.935 , 39.227 , 5.206384032769067 , 37.827 , 0.103 , 0
18 , 12.118226600985224 , 0.6 , 0.6 , 21 , 61 , 29 , 111 , 3 , 13.553 , 13.553 , 22.963 , 22.963 , 1.07 , 0.94 , 41.659 , 6.493772872172356 , 38.934 , 0.103 , 0
14 , 13.090909090909088 , 0.6 , 0.6 , 18 , 63 , 33 , 114 , 3 , 16.716 , 16.716 , 23.345 , 23.345 , 1.103 , 0.938 , 45.003 , 7.238486469730394 , 40.801 , 0.103 , 0
7 , 14.285714285714283 , 0.6 , 0.6 , 18 , 62 , 28 , 108 , 3 , 16.728 , 16.728 , 28.502 , 28.502 , 1.126 , 0.934 , 49.111 , 8.303693851771227 , 43.615 , 0.103 , 0
4 , 15.589285714285714 , 0.5 , 0.5 , 21 , 76 , 32 , 129 , 3 , 19.335 , 19.335 , 36.396 , 36.396 , 1.19 , 0.942 , 53.592 , 10.452455499378965 , 45.035 , 0.103 , 0
2 , 16.0 , 0.5 , 0.5 , 21 , 75 , 30 , 126 , 3 , 19.345 , 19.345 , 39.086 , 39.086 , 1.202 , 0.94 , 55.004 , 11.007784942712592 , 45.76 , 0.103 , 0


Running Time (sec)
187.92160034179688
