Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
2400 , 251.32741228718345 , 3.437746770784939 , 1700 , 0.5 , 86.8 , 43
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 76.8 , 400
 
Optimization Parameters:
K_mass, K_Eff, MODULE_STAGE1_MIN, MODULE_STAGE1_MAX, MODULE_STAGE2_MIN, MODULE_STAGE2_MAX, NUM_PLANET_STAGE1_MIN, NUM_PLANET_STAGE1_MAX, NUM_PLANET_STAGE2_MIN, NUM_PLANET_STAGE2_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 3 , 7 , 18 , 28 , 4 , 45 , 1
 
iter, gearRatio, module1, module2, Ns1, Np1, Nr1, numPlanet1, Ns2, Np2, Nr2, numPlanet2, fwSun1MM, fwPlanet1MM, fwRing1MM, fwSun2MM, fwPlanet2MM, fwRing2MM, Opt_PSC_sun1,  Opt_PSC_planet1, Opt_PSC_ring1, Opt_PSC_sun2, Opt_PSC_planet2, Opt_PSC_ring2, Opt_CD_SP1, Opt_CD_PR1, Opt_CD_SP2, Opt_CD_PR2, mass, eff, peakTorque, Cost, Torque_Density
3 , 6.998939554612938 , 0.5 , 0.5 , 92 , 28 , 148 , 3 , 82 , 28 , 138 , 4 , 0.571 , 8.0 , 8.0 , 1.275 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 30.0 , 30.0 , 27.5 , 27.5 , 1.18 , 0.929 , 24.061 , 2.6037404634350567 , 20.390677966101695
15 , 7.888128772635815 , 0.5 , 0.5 , 70 , 29 , 128 , 3 , 71 , 28 , 127 , 3 , 0.782 , 8.0 , 8.0 , 2.18 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 24.75 , 24.75 , 24.75 , 24.75 , 1.075 , 0.927 , 27.117 , 2.567490991282373 , 25.22511627906977
14 , 8.933002481389579 , 0.5 , 0.5 , 62 , 28 , 118 , 3 , 52 , 28 , 108 , 4 , 0.9 , 8.0 , 8.0 , 2.396 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 22.5 , 22.5 , 20.0 , 20.0 , 0.958 , 0.921 , 30.709 , 2.575702600645432 , 32.0553235908142
17 , 9.957446808510639 , 0.5 , 0.5 , 50 , 28 , 106 , 3 , 47 , 28 , 103 , 3 , 1.152 , 8.0 , 8.0 , 3.867 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 18.75 , 18.75 , 0.903 , 0.918 , 34.231 , 2.55222329512795 , 37.90808416389812
15 , 10.939024390243903 , 0.5 , 0.5 , 48 , 30 , 108 , 3 , 41 , 28 , 97 , 3 , 1.203 , 8.0 , 8.0 , 4.758 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 17.25 , 17.25 , 0.883 , 0.917 , 37.606 , 2.554017706235571 , 42.58890147225368
10 , 11.909943714821763 , 0.5 , 0.5 , 39 , 30 , 99 , 3 , 41 , 28 , 97 , 3 , 1.551 , 8.0 , 8.0 , 5.18 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 17.25 , 17.25 , 17.25 , 17.25 , 0.869 , 0.914 , 40.943 , 2.543617186646167 , 47.1150747986191
6 , 12.955903271692746 , 0.5 , 0.5 , 37 , 32 , 101 , 3 , 38 , 28 , 94 , 3 , 1.652 , 8.0 , 8.0 , 6.008 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 17.25 , 17.25 , 16.5 , 16.5 , 0.865 , 0.914 , 44.539 , 2.5744250630356396 , 51.49017341040463
4 , 13.69624060150376 , 0.5 , 0.5 , 35 , 34 , 103 , 3 , 38 , 28 , 94 , 3 , 1.768 , 8.0 , 8.0 , 6.351 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 17.25 , 17.25 , 16.5 , 16.5 , 0.864 , 0.914 , 47.084 , 2.5508815790530845 , 54.495370370370374
7 , 14.611764705882353 , 0.5 , 0.5 , 34 , 35 , 104 , 3 , 35 , 28 , 91 , 3 , 1.833 , 8.0 , 8.0 , 7.268 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 17.25 , 17.25 , 15.75 , 15.75 , 0.861 , 0.913 , 50.232 , 2.543790759747595 , 58.34146341463415
4 , 15.054545454545455 , 0.5 , 0.5 , 33 , 36 , 105 , 3 , 35 , 28 , 91 , 3 , 1.903 , 8.0 , 8.0 , 7.488 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 17.25 , 17.25 , 15.75 , 15.75 , 0.86 , 0.913 , 51.754 , 2.547678691509798 , 60.17906976744186
