Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
2400 , 251.32741228718345 , 3.437746770784939 , 1700 , 0.5 , 86.8 , 43
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 76.8 , 70
 
Optimization Parameters:
K_mass, K_Eff, K_Width, MODULE_MIN, MODULE_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 4.0 , 15 , 0.1
 
iter, gearRatio, module, Ns, Np, Nr, numPlanet, fwSunMM, fwPlanetMM, fwRingMM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
14 , 4.0 , 0.6 , 33 , 33 , 99 , 3 , 7.592 , 8.0 , 8.0 , 0.825 , 0.956 , 13.751 , 0.5131628965130886 , 16.667878787878788 , 0.05 , 79.0
11 , 4.125 , 0.6 , 32 , 34 , 100 , 3 , 7.892 , 8.0 , 8.0 , 0.824 , 0.956 , 14.181 , 0.5124640912068874 , 17.20995145631068 , 0.05 , 79.0
12 , 4.222222222222222 , 0.7 , 27 , 30 , 87 , 3 , 7.346 , 8.0 , 8.0 , 0.823 , 0.95 , 14.515 , 0.5235309708575886 , 17.636695018226003 , 0.05 , 79.0
12 , 4.384615384615385 , 0.7 , 26 , 31 , 88 , 3 , 7.717 , 8.0 , 8.0 , 0.823 , 0.95 , 15.073 , 0.5230536124250764 , 18.314702308626977 , 0.05 , 79.0
11 , 4.411764705882353 , 0.6 , 34 , 41 , 116 , 3 , 7.206 , 8.0 , 8.0 , 0.867 , 0.96 , 15.167 , 0.546580053953182 , 17.49365628604383 , 0.081 , 81.0
14 , 4.545454545454546 , 0.6 , 33 , 42 , 117 , 3 , 7.484 , 8.0 , 8.0 , 0.867 , 0.96 , 15.626 , 0.5462628908628944 , 18.02306805074971 , 0.081 , 81.0
11 , 4.6875 , 0.6 , 32 , 43 , 118 , 3 , 7.784 , 8.0 , 8.0 , 0.866 , 0.96 , 16.114 , 0.5460762646727302 , 18.607390300230946 , 0.081 , 81.0
9 , 4.764705882352941 , 0.6 , 34 , 47 , 128 , 3 , 7.153 , 8.0 , 8.0 , 0.9 , 0.962 , 16.38 , 0.5752590727944213 , 18.2 , 0.103 , 82.0
13 , 4.846153846153846 , 0.7 , 26 , 37 , 100 , 3 , 7.631 , 8.0 , 8.0 , 0.867 , 0.953 , 16.66 , 0.560757782512137 , 19.215686274509803 , 0.081 , 81.0
7 , 4.909090909090909 , 0.7999999999999999 , 22 , 32 , 86 , 3 , 7.414 , 8.0 , 8.0 , 0.869 , 0.947 , 16.876 , 0.5758101875420929 , 19.420023014959725 , 0.081 , 81.0
11 , 5.04 , 0.7 , 25 , 38 , 101 , 3 , 8.038 , 8.038 , 8.038 , 0.867 , 0.953 , 17.326 , 0.5688021565454606 , 19.9838523644752 , 0.081 , 81.0377220753014
10 , 5.142857142857143 , 0.7999999999999999 , 21 , 33 , 87 , 3 , 7.888 , 8.0 , 8.0 , 0.868 , 0.946 , 17.68 , 0.5763521046678193 , 20.368663594470046 , 0.081 , 81.0
9 , 5.28 , 0.7 , 25 , 41 , 107 , 3 , 8.002 , 8.002 , 8.002 , 0.903 , 0.954 , 18.151 , 0.5956811512287874 , 20.100775193798448 , 0.103 , 82.00188647183356
