Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
2400 , 251.32741228718345 , 3.437746770784939 , 1700 , 0.5 , 86.8 , 43
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 76.8 , 70
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 28 , 4 , 45 , 1
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, NrBig, NrSmall, numPlanet, PSCs, PSCp1, PSCp2, PSCr1, PSCr2,fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingBigMM, fwRingSmallMM,  mass, eff, peakTorque, Cost, torque_density
2 , 11.314285714285715 , 0.5 , 0.5 , 56 , 48 , 28 , 152 , 132 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.196 , 14.877 , 21.608 , 14.877 , 21.608 , 0.868 , 0.903 , 38.896 , 6.358901463800558 , 44.811
3 , 13.0 , 0.5 , 0.5 , 50 , 50 , 30 , 150 , 130 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.819 , 13.926 , 19.688 , 13.926 , 19.688 , 0.861 , 0.901 , 44.691 , 5.781826496154049 , 51.906
5 , 13.0 , 0.5 , 0.5 , 50 , 50 , 30 , 150 , 130 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.819 , 13.926 , 19.688 , 13.926 , 19.688 , 0.861 , 0.901 , 44.691 , 5.781826496154049 , 51.906
8 , 14.636363636363637 , 0.5 , 0.5 , 66 , 42 , 30 , 150 , 138 , 6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.336 , 13.648 , 17.442 , 13.648 , 17.442 , 0.881 , 0.859 , 50.316 , 5.380845628869449 , 57.112
8 , 15.4 , 0.5 , 0.5 , 60 , 42 , 30 , 144 , 132 , 6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.604 , 14.991 , 19.153 , 14.991 , 19.153 , 0.886 , 0.858 , 52.941 , 5.998741975597746 , 59.753
9 , 16.0 , 0.5 , 0.5 , 70 , 40 , 30 , 150 , 140 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.628 , 18.225 , 22.566 , 18.225 , 22.566 , 0.918 , 0.839 , 55.004 , 7.398523677840243 , 59.917
7 , 18.0 , 0.5 , 0.5 , 50 , 50 , 35 , 150 , 135 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.819 , 19.729 , 25.047 , 19.729 , 25.047 , 0.923 , 0.877 , 61.879 , 8.124123509534227 , 67.041
9 , 18.181818181818183 , 0.5 , 0.5 , 77 , 35 , 28 , 147 , 140 , 7 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 1.694 , 15.763 , 18.751 , 15.763 , 18.751 , 0.918 , 0.791 , 62.504 , 6.2394895965605075 , 68.087
11 , 19.0 , 0.5 , 0.5 , 70 , 35 , 28 , 140 , 133 , 7 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 1.892 , 17.309 , 20.585 , 17.309 , 20.585 , 0.917 , 0.789 , 65.317 , 6.917970819413652 , 71.229
11 , 20.0 , 0.5 , 0.5 , 63 , 35 , 28 , 133 , 126 , 7 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.133 , 19.195 , 22.821 , 19.195 , 22.821 , 0.916 , 0.787 , 68.755 , 7.744904853202895 , 75.06
