Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
5760 , 603.1857894892403 , 7.559859796865029 , 4560 , 0.778 , 106.8 , 47.6
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 106.8 , 70
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 28 , 4.0 , 20.0 , 1.0
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingMM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
208 , 4.0625 , 0.9 , 0.9 , 40 , 35 , 30 , 105 , 5 , 3.463 , 4.0 , 4.0 , 4.0 , 1.369 , 0.956 , 30.712 , 1.0564953103803867 , 22.434 , 0.151 , 0
187 , 5.0 , 1.2 , 1.2 , 24 , 32 , 28 , 84 , 4 , 4.822 , 4.822 , 4.477 , 4.477 , 1.378 , 0.945 , 37.799 , 1.3474696488566866 , 27.43 , 0.151 , 0
162 , 6.000000000000001 , 0.9 , 0.9 , 28 , 42 , 30 , 100 , 4 , 6.833 , 6.833 , 8.26 , 8.26 , 1.405 , 0.949 , 45.359 , 2.52530092658691 , 32.284 , 0.149 , 0
132 , 7.027777777777778 , 0.7 , 0.7 , 36 , 56 , 32 , 124 , 4 , 7.978 , 7.978 , 13.142 , 13.142 , 1.454 , 0.955 , 53.129 , 3.767840959323511 , 36.54 , 0.149 , 0
104 , 8.0 , 1.0 , 1.0 , 18 , 42 , 30 , 90 , 3 , 13.514 , 13.514 , 13.784 , 13.784 , 1.467 , 0.938 , 60.479 , 5.050750226129789 , 41.226 , 0.134 , 0
86 , 9.000000000000002 , 0.9 , 0.9 , 18 , 48 , 33 , 99 , 3 , 16.559 , 16.559 , 17.253 , 17.253 , 1.528 , 0.939 , 68.039 , 6.410966603193396 , 44.528 , 0.134 , 0
86 , 10.011494252873565 , 0.9 , 0.9 , 18 , 49 , 29 , 96 , 3 , 16.541 , 16.541 , 20.861 , 20.861 , 1.583 , 0.936 , 75.685 , 7.1909777730571385 , 47.811 , 0.149 , 0
66 , 11.0 , 0.8 , 0.8 , 21 , 56 , 28 , 105 , 3 , 16.832 , 16.832 , 27.254 , 27.254 , 1.629 , 0.939 , 83.158 , 8.56786248222529 , 51.048 , 0.149 , 0
53 , 12.083333333333332 , 0.8 , 0.8 , 18 , 57 , 30 , 105 , 3 , 20.774 , 20.774 , 29.508 , 29.508 , 1.664 , 0.936 , 91.348 , 9.847420253584865 , 54.897 , 0.134 , 0
42 , 13.048245614035089 , 0.7 , 0.7 , 18 , 67 , 38 , 123 , 3 , 26.933 , 26.933 , 33.565 , 33.565 , 1.775 , 0.941 , 98.643 , 11.99224223639324 , 55.574 , 0.134 , 0
38 , 14.000000000000002 , 0.7 , 0.7 , 18 , 66 , 33 , 117 , 3 , 26.951 , 26.951 , 39.562 , 39.562 , 1.808 , 0.938 , 105.838 , 13.23408338236706 , 58.539 , 0.134 , 0
33 , 15.632183908045977 , 0.7 , 0.7 , 18 , 67 , 29 , 114 , 3 , 26.933 , 26.933 , 47.604 , 47.604 , 1.864 , 0.935 , 118.177 , 14.901650787369586 , 63.4 , 0.134 , 0
23 , 16.333333333333332 , 0.6 , 0.6 , 18 , 80 , 40 , 138 , 3 , 36.394 , 36.394 , 51.387 , 51.387 , 2.018 , 0.942 , 123.478 , 17.690412691726248 , 61.188 , 0.134 , 0
20 , 17.21621621621622 , 0.6 , 0.6 , 18 , 80 , 37 , 135 , 3 , 36.394 , 36.394 , 56.645 , 56.645 , 2.051 , 0.94 , 130.152 , 18.778416320808873 , 63.458 , 0.134 , 0
17 , 18.254901960784316 , 0.6 , 0.6 , 18 , 80 , 34 , 132 , 3 , 36.394 , 36.394 , 63.107 , 63.107 , 2.093 , 0.938 , 138.004 , 20.11651263114229 , 65.936 , 0.134 , 0
12 , 19.49462365591398 , 0.6 , 0.6 , 18 , 80 , 31 , 129 , 3 , 36.394 , 36.394 , 71.183 , 71.183 , 2.147 , 0.936 , 147.377 , 21.790181815224084 , 68.643 , 0.134 , 0
8 , 20.06896551724138 , 0.6 , 0.6 , 18 , 79 , 29 , 126 , 3 , 36.412 , 36.412 , 76.751 , 76.751 , 2.181 , 0.934 , 151.719 , 22.944909085914325 , 69.564 , 0.134 , 0


Running Time (sec)
535.989164352417
