Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
5760 , 603.1857894892403 , 7.559859796865029 , 4560 , 0.778 , 106.8 , 47.6
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 96.8 , 400
 
Optimization Parameters:
K_mass, K_Eff, MODULE_STAGE1_MIN, MODULE_STAGE1_MAX, MODULE_STAGE2_MIN, MODULE_STAGE2_MAX, NUM_PLANET_STAGE1_MIN, NUM_PLANET_STAGE1_MAX, NUM_PLANET_STAGE2_MIN, NUM_PLANET_STAGE2_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 3 , 7 , 18 , 28 , 4 , 45 , 1
 
iter, gearRatio, module1, module2, Ns1, Np1, Nr1, numPlanet1, Ns2, Np2, Nr2, numPlanet2, fwSun1MM, fwPlanet1MM, fwRing1MM, fwSun2MM, fwPlanet2MM, fwRing2MM, Opt_PSC_sun1,  Opt_PSC_planet1, Opt_PSC_ring1, Opt_PSC_sun2, Opt_PSC_planet2, Opt_PSC_ring2, Opt_CD_SP1, Opt_CD_PR1, Opt_CD_SP2, Opt_CD_PR2, mass, eff, peakTorque, Cost, Torque_Density
6 , 5.969215367288199 , 0.5 , 0.5 , 122 , 28 , 178 , 3 , 131 , 28 , 187 , 3 , 1.078 , 8.0 , 8.0 , 2.858 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 37.5 , 37.5 , 39.75 , 39.75 , 1.97 , 0.934 , 45.126 , 3.4437674091773545 , 22.906598984771573
20 , 6.998939554612938 , 0.5 , 0.5 , 92 , 28 , 148 , 3 , 82 , 28 , 138 , 4 , 1.256 , 8.0 , 8.0 , 2.805 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 30.0 , 30.0 , 27.5 , 27.5 , 1.522 , 0.929 , 52.911 , 3.3491228544451164 , 34.76412614980289
23 , 7.888128772635815 , 0.5 , 0.5 , 70 , 29 , 128 , 3 , 71 , 28 , 127 , 3 , 1.719 , 8.0 , 8.0 , 4.794 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 24.75 , 24.75 , 24.75 , 24.75 , 1.418 , 0.927 , 59.633 , 3.318401831975582 , 42.05430183356841
18 , 8.933002481389579 , 0.5 , 0.5 , 62 , 28 , 118 , 3 , 52 , 28 , 108 , 4 , 1.978 , 8.0 , 8.0 , 5.269 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 22.5 , 22.5 , 20.0 , 20.0 , 1.3 , 0.921 , 67.532 , 3.196023195254432 , 51.9476923076923
17 , 9.7344 , 0.5 , 0.5 , 50 , 28 , 106 , 3 , 50 , 28 , 106 , 3 , 2.533 , 8.0 , 8.0 , 7.903 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 19.5 , 19.5 , 1.248 , 0.919 , 73.591 , 3.2055604732601743 , 58.96714743589743
11 , 10.90909090909091 , 0.5 , 0.5 , 44 , 34 , 112 , 3 , 52 , 28 , 108 , 4 , 2.914 , 8.0 , 8.0 , 6.434 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 20.0 , 20.0 , 1.252 , 0.922 , 82.471 , 3.242767460150982 , 65.87140575079873
5 , 12.0 , 0.5 , 0.5 , 40 , 38 , 116 , 3 , 52 , 28 , 108 , 4 , 3.257 , 8.0 , 8.0 , 7.078 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 20.0 , 20.0 , 1.25 , 0.922 , 90.718 , 3.199132673101998 , 72.5744
18 , 12.972972972972972 , 0.5 , 0.5 , 37 , 41 , 119 , 3 , 52 , 28 , 108 , 4 , 3.579 , 8.0 , 8.0 , 7.652 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 20.0 , 20.0 , 1.249 , 0.922 , 98.074 , 3.1637681466465324 , 78.52201761409127
36 , 13.333333333333334 , 0.5 , 0.5 , 36 , 42 , 120 , 3 , 52 , 28 , 108 , 4 , 3.703 , 8.0 , 8.0 , 7.864 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 20.0 , 20.0 , 1.248 , 0.922 , 100.798 , 3.164481375585882 , 80.7676282051282
49 , 14.274509803921568 , 0.5 , 0.5 , 34 , 44 , 122 , 3 , 54 , 30 , 114 , 4 , 3.978 , 8.0 , 8.0 , 7.935 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 21.0 , 21.0 , 1.302 , 0.924 , 107.913 , 3.166392617918941 , 82.88248847926266
