Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
5760 , 603.1857894892403 , 7.559859796865029 , 4560 , 0.778 , 106.8 , 47.6
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 96.8 , 70
 
Optimization Parameters:
K_mass, K_Eff, K_Width, MODULE_MIN, MODULE_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 4.0 , 15 , 0.1
 
iter, gearRatio, module, Ns, Np, Nr, numPlanet, fwSunMM, fwPlanetMM, fwRingMM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
50 , 4.0 , 0.7999999999999999 , 31 , 31 , 93 , 4 , 7.683 , 8.0 , 8.0 , 1.279 , 0.953 , 30.239 , 0.9720233572671091 , 23.64268960125098 , 0.103 , 86.6
31 , 4.133333333333334 , 0.7999999999999999 , 30 , 32 , 94 , 4 , 8.011 , 8.011 , 8.011 , 1.278 , 0.954 , 31.247 , 0.9735790900158743 , 24.449921752738653 , 0.103 , 86.61109435347784
36 , 4.25531914893617 , 0.6 , 47 , 53 , 153 , 4 , 7.82 , 8.0 , 8.0 , 1.318 , 0.969 , 32.17 , 0.9793708038403712 , 24.408194233687404 , 0.134 , 86.6
30 , 4.3478260869565215 , 0.6 , 46 , 54 , 154 , 4 , 8.017 , 8.017 , 8.017 , 1.318 , 0.969 , 32.869 , 0.9825340656250938 , 24.93854324734446 , 0.134 , 86.61701339261087
27 , 4.421052631578948 , 0.7 , 38 , 46 , 130 , 4 , 7.518 , 8.0 , 8.0 , 1.32 , 0.964 , 33.423 , 0.9914287972800806 , 25.320454545454545 , 0.134 , 86.6
29 , 4.54054054054054 , 0.7 , 37 , 47 , 131 , 4 , 7.769 , 8.0 , 8.0 , 1.319 , 0.964 , 34.326 , 0.9911488978631309 , 26.024260803639123 , 0.134 , 86.6
21 , 4.631578947368421 , 0.7 , 38 , 50 , 138 , 4 , 7.486 , 8.0 , 8.0 , 1.343 , 0.965 , 35.014 , 1.012720381576854 , 26.071481757259868 , 0.149 , 86.6
20 , 4.714285714285714 , 0.8999999999999999 , 28 , 38 , 104 , 3 , 9.164 , 9.164 , 9.164 , 1.315 , 0.955 , 35.639 , 1.2366529130041235 , 27.101901140684415 , 0.134 , 87.76369943481174
30 , 4.8 , 1.2 , 20 , 28 , 76 , 3 , 8.337 , 8.337 , 8.337 , 1.311 , 0.941 , 36.287 , 1.0964339803779943 , 27.678871090770404 , 0.134 , 86.93721487617647
20 , 4.909090909090909 , 1.0999999999999999 , 22 , 32 , 86 , 3 , 8.623 , 8.623 , 8.623 , 1.308 , 0.947 , 37.112 , 1.1400944289520925 , 28.37308868501529 , 0.134 , 87.22349875443263
25 , 5.052631578947368 , 1.2 , 19 , 29 , 77 , 3 , 8.924 , 8.924 , 8.924 , 1.315 , 0.94 , 38.197 , 1.2192180064591633 , 29.047148288973386 , 0.134 , 87.52395350309646
21 , 5.142857142857143 , 1.0999999999999999 , 21 , 33 , 87 , 3 , 9.175 , 9.175 , 9.175 , 1.312 , 0.946 , 38.879 , 1.2555323650860863 , 29.63338414634146 , 0.134 , 87.77467073844457
18 , 5.28 , 0.8999999999999999 , 25 , 41 , 107 , 3 , 10.645 , 10.645 , 10.645 , 1.326 , 0.954 , 39.916 , 1.546608158904262 , 30.1025641025641 , 0.134 , 89.24494213716997
19 , 5.333333333333333 , 1.2 , 18 , 30 , 78 , 3 , 9.588 , 9.588 , 9.588 , 1.32 , 0.94 , 40.319 , 1.3588996362984431 , 30.54469696969697 , 0.134 , 88.18807673917561
20 , 5.4 , 1.0999999999999999 , 20 , 34 , 88 , 3 , 9.792 , 9.792 , 9.792 , 1.317 , 0.945 , 40.823 , 1.3854031711919685 , 30.99696279422931 , 0.134 , 88.39214442658836
18 , 5.538461538461538 , 0.7999999999999999 , 26 , 46 , 118 , 3 , 12.688 , 12.688 , 12.688 , 1.349 , 0.957 , 41.87 , 1.9736399299367173 , 31.037805782060783 , 0.134 , 91.28839942060483
