Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
2400 , 251.32741228718345 , 2.291831180523293 , 750 , 0.24 , 86.8 , 26.5
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 76.8 , 70
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 28 , 4 , 45 , 1
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, NrBig, NrSmall, numPlanet, PSCs, PSCp1, PSCp2, PSCr1, PSCr2,fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingBigMM, fwRingSmallMM,  mass, eff, peakTorque, Cost, torque_density
2 , 11.314285714285715 , 0.5 , 0.5 , 56 , 48 , 28 , 152 , 132 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.797 , 9.918 , 14.405 , 9.918 , 14.405 , 0.544 , 0.903 , 25.93 , 3.603298050444885 , 47.665
3 , 13.0 , 0.5 , 0.5 , 50 , 50 , 30 , 150 , 130 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.546 , 9.284 , 13.125 , 9.284 , 13.125 , 0.537 , 0.901 , 29.794 , 3.217358979936871 , 55.482
5 , 13.0 , 0.5 , 0.5 , 50 , 50 , 30 , 150 , 130 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.546 , 9.284 , 13.125 , 9.284 , 13.125 , 0.537 , 0.901 , 29.794 , 3.217358979936871 , 55.482
8 , 14.636363636363637 , 0.5 , 0.5 , 66 , 42 , 30 , 150 , 138 , 6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 1.558 , 9.098 , 11.628 , 9.098 , 11.628 , 0.557 , 0.859 , 33.544 , 2.9835432039410867 , 60.223
8 , 15.4 , 0.5 , 0.5 , 60 , 42 , 30 , 144 , 132 , 6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 1.736 , 9.994 , 12.769 , 9.994 , 12.769 , 0.558 , 0.858 , 35.294 , 3.3947630077784967 , 63.251
9 , 16.0 , 0.5 , 0.5 , 70 , 40 , 30 , 150 , 140 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 1.752 , 12.15 , 15.044 , 12.15 , 15.044 , 0.581 , 0.839 , 36.669 , 4.34214642815441 , 63.114
7 , 18.0 , 0.5 , 0.5 , 50 , 50 , 35 , 150 , 135 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.546 , 13.153 , 16.698 , 13.153 , 16.698 , 0.579 , 0.877 , 41.253 , 4.794970689014464 , 71.249
9 , 18.181818181818183 , 0.5 , 0.5 , 77 , 35 , 28 , 147 , 140 , 7 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 1.13 , 10.509 , 12.501 , 10.509 , 12.501 , 0.584 , 0.791 , 41.67 , 3.6052534091383683 , 71.353
11 , 19.0 , 0.5 , 0.5 , 70 , 35 , 28 , 140 , 133 , 7 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 1.261 , 11.539 , 13.724 , 11.539 , 13.724 , 0.581 , 0.789 , 43.545 , 4.055466971036072 , 74.948
10 , 20.0 , 0.5 , 0.5 , 63 , 35 , 28 , 133 , 126 , 7 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 1.422 , 12.796 , 15.214 , 12.796 , 15.214 , 0.576 , 0.787 , 45.837 , 4.60381495599491 , 79.578
