Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
4800 , 502.6548245743669 , 3.819718634205488 , 1900 , 0.713 , 89.4 , 45.5
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 89.4 , 70
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 28 , 4.0 , 20.0 , 1.0
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingMM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
145 , 4.063973063973064 , 0.7 , 0.7 , 36 , 35 , 33 , 104 , 4 , 4.134 , 4.134 , 3.951 , 3.951 , 1.153 , 0.957 , 15.523 , 0.8554907334237241 , 13.463 , 0.103 , 0
126 , 5.0 , 1.0 , 1.0 , 24 , 32 , 28 , 84 , 4 , 3.509 , 4.0 , 4.0 , 4.0 , 1.22 , 0.945 , 19.099 , 0.9299179482488311 , 15.655 , 0.134 , 0
97 , 6.08235294117647 , 0.6 , 0.6 , 40 , 54 , 34 , 128 , 4 , 4.807 , 4.807 , 7.255 , 7.255 , 1.241 , 0.958 , 23.233 , 1.7371663731624611 , 18.721 , 0.134 , 0
77 , 7.25 , 0.9 , 0.9 , 18 , 40 , 32 , 90 , 3 , 8.454 , 8.454 , 7.518 , 7.518 , 1.243 , 0.94 , 27.693 , 2.5581723629437185 , 22.279 , 0.128 , 0
69 , 8.228571428571431 , 0.8 , 0.8 , 18 , 46 , 35 , 99 , 3 , 10.614 , 10.614 , 9.794 , 9.794 , 1.274 , 0.941 , 31.431 , 3.4737402198565577 , 24.671 , 0.128 , 0
55 , 9.195402298850574 , 0.8 , 0.8 , 18 , 46 , 29 , 93 , 3 , 10.614 , 10.614 , 12.498 , 12.498 , 1.285 , 0.936 , 35.124 , 4.035022242349513 , 27.334 , 0.128 , 0
43 , 10.193877551020407 , 0.7 , 0.7 , 21 , 53 , 28 , 102 , 3 , 11.138 , 11.138 , 16.994 , 16.994 , 1.312 , 0.939 , 38.938 , 5.059861803735323 , 29.678 , 0.128 , 0
26 , 11.200000000000001 , 0.7 , 0.7 , 18 , 54 , 30 , 102 , 3 , 13.746 , 13.746 , 18.418 , 18.418 , 1.344 , 0.937 , 42.781 , 5.904015604642256 , 31.831 , 0.128 , 0
20 , 12.142857142857142 , 0.6 , 0.6 , 21 , 64 , 32 , 117 , 3 , 15.026 , 15.026 , 23.547 , 23.547 , 1.383 , 0.942 , 46.382 , 7.212908956391201 , 33.537 , 0.128 , 0
17 , 13.426470588235295 , 0.6 , 0.6 , 18 , 65 , 34 , 117 , 3 , 18.547 , 18.547 , 25.772 , 25.772 , 1.388 , 0.939 , 51.285 , 8.374172365987615 , 36.949 , 0.103 , 0
12 , 14.279569892473118 , 0.6 , 0.6 , 18 , 65 , 31 , 114 , 3 , 18.547 , 18.547 , 29.06 , 29.06 , 1.404 , 0.937 , 54.544 , 9.052448407204741 , 38.849 , 0.103 , 0
7 , 15.31547619047619 , 0.6 , 0.6 , 18 , 65 , 28 , 111 , 3 , 18.547 , 18.547 , 33.248 , 33.248 , 1.426 , 0.934 , 58.501 , 9.916741186684419 , 41.025 , 0.103 , 0
3 , 16.258064516129032 , 0.5 , 0.5 , 21 , 77 , 31 , 129 , 3 , 21.472 , 21.472 , 42.728 , 42.728 , 1.5 , 0.941 , 62.101 , 12.457862482524423 , 41.401 , 0.103 , 0
1 , 17.5 , 0.5 , 0.5 , 21 , 77 , 28 , 126 , 3 , 21.472 , 21.472 , 48.904 , 48.904 , 1.533 , 0.938 , 66.845 , 13.73129693460261 , 43.604 , 0.103 , 0


Running Time (sec)
214.41006064414978
