Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
4800 , 502.6548245743669 , 3.819718634205488 , 1900 , 0.713 , 89.4 , 45.5
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 79.4 , 400
 
Optimization Parameters:
K_mass, K_Eff, MODULE_STAGE1_MIN, MODULE_STAGE1_MAX, MODULE_STAGE2_MIN, MODULE_STAGE2_MAX, NUM_PLANET_STAGE1_MIN, NUM_PLANET_STAGE1_MAX, NUM_PLANET_STAGE2_MIN, NUM_PLANET_STAGE2_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 3 , 7 , 18 , 28 , 4 , 45 , 1
 
iter, gearRatio, module1, module2, Ns1, Np1, Nr1, numPlanet1, Ns2, Np2, Nr2, numPlanet2, fwSun1MM, fwPlanet1MM, fwRing1MM, fwSun2MM, fwPlanet2MM, fwRing2MM, Opt_PSC_sun1,  Opt_PSC_planet1, Opt_PSC_ring1, Opt_PSC_sun2, Opt_PSC_planet2, Opt_PSC_ring2, Opt_CD_SP1, Opt_CD_PR1, Opt_CD_SP2, Opt_CD_PR2, mass, eff, peakTorque, Cost, Torque_Density
8 , 6.998939554612938 , 0.5 , 0.5 , 92 , 28 , 148 , 3 , 82 , 28 , 138 , 4 , 0.634 , 8.0 , 8.0 , 1.417 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 30.0 , 30.0 , 27.5 , 27.5 , 1.42 , 0.929 , 26.734 , 2.8367068134880356 , 18.826760563380283
17 , 7.888128772635815 , 0.5 , 0.5 , 70 , 29 , 128 , 3 , 71 , 28 , 127 , 3 , 0.868 , 8.0 , 8.0 , 2.422 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 24.75 , 24.75 , 24.75 , 24.75 , 1.315 , 0.927 , 30.13 , 2.821831114241075 , 22.91254752851711
14 , 8.933002481389579 , 0.5 , 0.5 , 62 , 28 , 118 , 3 , 52 , 28 , 108 , 4 , 1.0 , 8.0 , 8.0 , 2.662 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 22.5 , 22.5 , 20.0 , 20.0 , 1.198 , 0.921 , 34.122 , 2.8236717083066125 , 28.48247078464107
17 , 9.957446808510639 , 0.5 , 0.5 , 50 , 28 , 106 , 3 , 47 , 28 , 103 , 3 , 1.28 , 8.0 , 8.0 , 4.297 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 18.75 , 18.75 , 1.142 , 0.918 , 38.035 , 2.8259142358894644 , 33.30560420315236
15 , 10.939024390243903 , 0.5 , 0.5 , 48 , 30 , 108 , 3 , 41 , 28 , 97 , 3 , 1.337 , 8.0 , 8.0 , 5.286 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 17.25 , 17.25 , 1.122 , 0.917 , 41.784 , 2.823596496200036 , 37.24064171122994
10 , 11.909943714821763 , 0.5 , 0.5 , 39 , 30 , 99 , 3 , 41 , 28 , 97 , 3 , 1.724 , 8.0 , 8.0 , 5.755 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 17.25 , 17.25 , 17.25 , 17.25 , 1.108 , 0.914 , 45.493 , 2.833180493574165 , 41.058664259927795
6 , 12.955903271692746 , 0.5 , 0.5 , 37 , 32 , 101 , 3 , 38 , 28 , 94 , 3 , 1.836 , 8.0 , 8.0 , 6.675 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 17.25 , 17.25 , 16.5 , 16.5 , 1.104 , 0.914 , 49.488 , 2.8308315169771765 , 44.826086956521735
4 , 13.69624060150376 , 0.5 , 0.5 , 35 , 34 , 103 , 3 , 38 , 28 , 94 , 3 , 1.965 , 8.0 , 8.0 , 7.057 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 17.25 , 17.25 , 16.5 , 16.5 , 1.104 , 0.914 , 52.316 , 2.8119725797726582 , 47.38768115942029
5 , 14.526315789473685 , 0.5 , 0.5 , 33 , 36 , 105 , 3 , 38 , 28 , 94 , 3 , 2.114 , 8.0 , 8.0 , 7.485 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 17.25 , 17.25 , 16.5 , 16.5 , 1.103 , 0.914 , 55.486 , 2.810739868876717 , 50.30462375339982
8 , 15.73684210526316 , 0.5 , 0.5 , 38 , 40 , 118 , 3 , 36 , 33 , 102 , 3 , 1.75 , 8.0 , 8.0 , 7.791 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 17.25 , 17.25 , 1.116 , 0.921 , 60.11 , 2.81232823213385 , 53.862007168458774
9 , 16.16216216216216 , 0.5 , 0.5 , 37 , 41 , 119 , 3 , 36 , 33 , 102 , 3 , 1.808 , 8.0 , 8.0 , 8.001 , 8.001 , 8.001 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 17.25 , 17.25 , 1.116 , 0.921 , 61.735 , 2.8049430369742643 , 55.31810035842293
10 , 17.521182266009852 , 0.5 , 0.6 , 35 , 43 , 121 , 3 , 29 , 28 , 85 , 3 , 1.938 , 8.0 , 8.0 , 7.903 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 17.099999999999998 , 17.099999999999998 , 1.115 , 0.913 , 66.926 , 2.7933659968744182 , 60.02331838565023
6 , 18.436363636363637 , 0.5 , 0.5 , 33 , 45 , 123 , 3 , 40 , 38 , 116 , 3 , 2.088 , 8.0 , 8.0 , 7.779 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 19.5 , 19.5 , 1.149 , 0.925 , 70.422 , 2.7959456455805642 , 61.289817232375974
16 , 19.21407624633431 , 0.5 , 0.6 , 33 , 45 , 123 , 3 , 31 , 32 , 95 , 3 , 2.088 , 8.0 , 8.0 , 7.597 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 18.9 , 18.9 , 1.146 , 0.917 , 73.392 , 2.811087947585852 , 64.04188481675394
11 , 20.129032258064516 , 0.5 , 0.6 , 33 , 45 , 123 , 3 , 31 , 35 , 101 , 3 , 2.088 , 8.0 , 8.0 , 7.554 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 19.8 , 19.8 , 1.155 , 0.919 , 76.887 , 2.763360480075507 , 66.56883116883117
9 , 21.272727272727273 , 0.5 , 0.7 , 33 , 45 , 123 , 3 , 24 , 30 , 84 , 3 , 2.088 , 8.0 , 8.0 , 7.932 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 18.9 , 18.9 , 1.151 , 0.911 , 81.256 , 2.77312245041116 , 70.59600347523892
11 , 22.454545454545457 , 0.5 , 0.7 , 33 , 45 , 123 , 3 , 24 , 33 , 90 , 3 , 2.088 , 8.0 , 8.0 , 7.882 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 19.95 , 19.95 , 1.16 , 0.913 , 85.77 , 2.77773652637331 , 73.9396551724138
10 , 23.030303030303028 , 0.5 , 0.7 , 33 , 57 , 147 , 3 , 27 , 30 , 87 , 3 , 2.063 , 8.0 , 8.0 , 7.791 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 22.5 , 22.5 , 19.95 , 19.95 , 1.184 , 0.916 , 87.969 , 2.7828629391734503 , 74.29814189189189
19 , 24.088235294117645 , 0.5 , 0.7 , 34 , 44 , 122 , 3 , 24 , 39 , 102 , 3 , 2.01 , 8.0 , 8.0 , 7.571 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 22.049999999999997 , 22.049999999999997 , 1.229 , 0.916 , 92.01 , 2.766854931643043 , 74.86574450772986
13 , 25.135549872122763 , 0.5 , 0.7 , 34 , 44 , 122 , 3 , 23 , 40 , 103 , 3 , 2.01 , 8.0 , 8.0 , 8.015 , 8.015 , 8.015 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 22.049999999999997 , 22.049999999999997 , 1.231 , 0.915 , 96.011 , 2.7719748877621644 , 77.99431356620633
16 , 26.77685950413223 , 0.5 , 0.8 , 33 , 57 , 147 , 3 , 22 , 32 , 86 , 3 , 2.063 , 8.0 , 8.0 , 7.863 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 22.5 , 22.5 , 21.6 , 21.6 , 1.253 , 0.913 , 102.28 , 2.7725029008918742 , 81.62809257781326
21 , 27.55980861244019 , 0.5 , 0.9 , 33 , 57 , 147 , 3 , 19 , 29 , 77 , 3 , 2.063 , 8.0 , 8.0 , 7.652 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 22.5 , 22.5 , 21.6 , 21.6 , 1.254 , 0.907 , 105.271 , 2.761159452224221 , 83.9481658692185
16 , 28.235294117647058 , 0.5 , 0.9 , 34 , 56 , 146 , 3 , 18 , 30 , 78 , 3 , 1.986 , 8.0 , 8.0 , 7.979 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 22.5 , 22.5 , 21.6 , 21.6 , 1.257 , 0.906 , 107.851 , 2.773502451217153 , 85.80031821797932
13 , 29.752066115702476 , 0.5 , 0.8 , 33 , 57 , 147 , 3 , 22 , 38 , 98 , 3 , 2.063 , 8.0 , 8.0 , 7.778 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 22.5 , 22.5 , 24.0 , 24.0 , 1.317 , 0.916 , 113.645 , 2.7558080591168372 , 86.29081245254366
13 , 30.0 , 0.5 , 0.9 , 34 , 56 , 146 , 3 , 18 , 33 , 84 , 3 , 1.986 , 8.0 , 8.0 , 7.928 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 22.5 , 22.5 , 22.95 , 22.95 , 1.309 , 0.908 , 114.592 , 2.7626929216699763 , 87.54163483575249
12 , 31.200000000000003 , 0.6 , 0.9 , 27 , 51 , 129 , 3 , 20 , 34 , 88 , 3 , 1.885 , 8.0 , 8.0 , 7.473 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 23.4 , 23.4 , 24.3 , 24.3 , 1.344 , 0.906 , 119.175 , 2.907492899081623 , 88.67187499999999
6 , 32.00000000000001 , 0.5 , 0.9 , 34 , 62 , 158 , 3 , 18 , 33 , 84 , 3 , 1.976 , 8.0 , 8.0 , 8.456 , 8.456 , 8.456 , 0 , 0 , 0 , 0 , 0 , 0 , 24.0 , 24.0 , 22.95 , 22.95 , 1.333 , 0.909 , 122.231 , 2.8613653894240336 , 91.69617404351088
3 , 33.01587301587302 , 0.6 , 0.8 , 27 , 51 , 129 , 3 , 21 , 39 , 99 , 3 , 1.885 , 8.0 , 8.0 , 8.769 , 8.769 , 8.769 , 0 , 0 , 0 , 0 , 0 , 0 , 23.4 , 23.4 , 24.0 , 24.0 , 1.348 , 0.91 , 126.111 , 3.285751226024427 , 93.55415430267063


Running Time (sec)
14032.531030893326
