Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
4800 , 502.6548245743669 , 3.819718634205488 , 1900 , 0.713 , 89.4 , 45.5
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 79.4 , 70
 
Optimization Parameters:
K_mass, K_Eff, K_Width, MODULE_MIN, MODULE_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 4.0 , 15 , 0.1
 
iter, gearRatio, module, Ns, Np, Nr, numPlanet, fwSunMM, fwPlanetMM, fwRingMM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
16 , 4.071428571428571 , 0.7 , 28 , 29 , 86 , 3 , 7.787 , 8.0 , 8.0 , 1.074 , 0.95 , 15.552 , 0.7744933872906234 , 14.4804469273743 , 0.05 , 81.5
15 , 4.166666666666667 , 0.6 , 36 , 39 , 114 , 3 , 7.455 , 8.0 , 8.0 , 1.119 , 0.961 , 15.915 , 0.797823306658596 , 14.222520107238605 , 0.081 , 83.5
16 , 4.285714285714286 , 0.6 , 35 , 40 , 115 , 3 , 7.721 , 8.0 , 8.0 , 1.118 , 0.961 , 16.37 , 0.7972530871566621 , 14.64221824686941 , 0.081 , 83.5
14 , 4.344827586206897 , 0.7 , 29 , 34 , 97 , 3 , 7.349 , 8.0 , 8.0 , 1.12 , 0.954 , 16.596 , 0.8115501144504347 , 14.817857142857141 , 0.081 , 83.5
11 , 4.411764705882353 , 0.6 , 34 , 41 , 116 , 3 , 8.007 , 8.007 , 8.007 , 1.118 , 0.96 , 16.852 , 0.7982025897418397 , 15.07334525939177 , 0.081 , 83.50674064728014
16 , 4.5 , 0.7 , 28 , 35 , 98 , 3 , 7.692 , 8.0 , 8.0 , 1.119 , 0.954 , 17.189 , 0.8111525860132607 , 15.361036639857016 , 0.081 , 83.5
13 , 4.666666666666667 , 0.7 , 27 , 36 , 99 , 3 , 8.067 , 8.067 , 8.067 , 1.119 , 0.954 , 17.825 , 0.8248736317436378 , 15.929401251117069 , 0.081 , 83.5672395900857
10 , 4.764705882352941 , 0.6 , 34 , 47 , 128 , 3 , 7.948 , 8.0 , 8.0 , 1.15 , 0.962 , 18.2 , 0.8254873802217244 , 15.82608695652174 , 0.103 , 84.5
17 , 4.8 , 0.8999999999999999 , 20 , 28 , 76 , 3 , 7.489 , 8.0 , 8.0 , 1.119 , 0.941 , 18.335 , 0.8373522026781504 , 16.385165326184094 , 0.081 , 83.5
9 , 4.928571428571429 , 0.7 , 28 , 41 , 110 , 3 , 7.62 , 8.0 , 8.0 , 1.15 , 0.957 , 18.826 , 0.8371684008683744 , 16.370434782608697 , 0.103 , 84.5
15 , 5.052631578947368 , 0.8999999999999999 , 19 , 29 , 77 , 3 , 8.016 , 8.016 , 8.016 , 1.119 , 0.94 , 19.3 , 0.8411532050512471 , 17.247542448614837 , 0.081 , 83.51590209400946
9 , 5.111111111111111 , 0.7 , 27 , 42 , 111 , 3 , 7.994 , 8.0 , 8.0 , 1.15 , 0.956 , 19.523 , 0.837315168821581 , 16.976521739130437 , 0.103 , 84.5
9 , 5.217391304347826 , 0.7999999999999999 , 23 , 37 , 97 , 3 , 7.678 , 8.0 , 8.0 , 1.15 , 0.95 , 19.929 , 0.8492923219970416 , 17.329565217391306 , 0.103 , 84.5
